insert into codes_cy (CODEID, TYPENAME, CODENAME, CODEVALUE, CODEORDER, PARENTID, CONDITIONS, CODENAMEPY, CODENAMEPYQKG, CODENAMEPYSZM)
values (1, '美食', '粤菜', '1', 1, null, 'LB', null, null, null);

insert into codes_cy (CODEID, TYPENAME, CODENAME, CODEVALUE, CODEORDER, PARENTID, CONDITIONS, CODENAMEPY, CODENAMEPYQKG, CODENAMEPYSZM)
values (2, '美食', '川菜', '2', 2, null, 'LB', null, null, null);

insert into codes_cy (CODEID, TYPENAME, CODENAME, CODEVALUE, CODEORDER, PARENTID, CONDITIONS, CODENAMEPY, CODENAMEPYQKG, CODENAMEPYSZM)
values (3, '美食', '鲁菜', '3', 3, null, 'LB', null, null, null);

insert into codes_cy (CODEID, TYPENAME, CODENAME, CODEVALUE, CODEORDER, PARENTID, CONDITIONS, CODENAMEPY, CODENAMEPYQKG, CODENAMEPYSZM)
values (4, '美食', '浙江菜', '4', 4, null, 'LB', null, null, null);

insert into codes_cy (CODEID, TYPENAME, CODENAME, CODEVALUE, CODEORDER, PARENTID, CONDITIONS, CODENAMEPY, CODENAMEPYQKG, CODENAMEPYSZM)
values (5, '美食', '淮扬菜', '5', 5, null, 'LB', null, null, null);

insert into codes_cy (CODEID, TYPENAME, CODENAME, CODEVALUE, CODEORDER, PARENTID, CONDITIONS, CODENAMEPY, CODENAMEPYQKG, CODENAMEPYSZM)
values (6, '美食', '闽南菜', '6', 6, null, 'LB', null, null, null);

insert into codes_cy (CODEID, TYPENAME, CODENAME, CODEVALUE, CODEORDER, PARENTID, CONDITIONS, CODENAMEPY, CODENAMEPYQKG, CODENAMEPYSZM)
values (7, '美食', '湘菜', '7', 7, null, 'LB', null, null, null);

insert into codes_cy (CODEID, TYPENAME, CODENAME, CODEVALUE, CODEORDER, PARENTID, CONDITIONS, CODENAMEPY, CODENAMEPYQKG, CODENAMEPYSZM)
values (8, '美食', '徽菜', '8', 8, null, 'LB', null, null, null);

insert into codes_cy (CODEID, TYPENAME, CODENAME, CODEVALUE, CODEORDER, PARENTID, CONDITIONS, CODENAMEPY, CODENAMEPYQKG, CODENAMEPYSZM)
values (9, '美食', '北京菜', '9', 9, null, 'LB', null, null, null);

insert into codes_cy (CODEID, TYPENAME, CODENAME, CODEVALUE, CODEORDER, PARENTID, CONDITIONS, CODENAMEPY, CODENAMEPYQKG, CODENAMEPYSZM)
values (10, '美食', '上海菜', '10', 10, null, 'LB', null, null, null);

insert into codes_cy (CODEID, TYPENAME, CODENAME, CODEVALUE, CODEORDER, PARENTID, CONDITIONS, CODENAMEPY, CODENAMEPYQKG, CODENAMEPYSZM)
values (11, '美食', '河南菜', '11', 11, null, 'LB', null, null, null);

insert into codes_cy (CODEID, TYPENAME, CODENAME, CODEVALUE, CODEORDER, PARENTID, CONDITIONS, CODENAMEPY, CODENAMEPYQKG, CODENAMEPYSZM)
values (12, '美食', '湖北菜', '12', 12, null, 'LB', null, null, null);

insert into codes_cy (CODEID, TYPENAME, CODENAME, CODEVALUE, CODEORDER, PARENTID, CONDITIONS, CODENAMEPY, CODENAMEPYQKG, CODENAMEPYSZM)
values (13, '美食', '东北菜', '13', 13, null, 'LB', null, null, null);

insert into codes_cy (CODEID, TYPENAME, CODENAME, CODEVALUE, CODEORDER, PARENTID, CONDITIONS, CODENAMEPY, CODENAMEPYQKG, CODENAMEPYSZM)
